accelX, accelY, accelZ, gyroX, gyroY, gyroZ, magX, magY, magZ, timestamp
-0.17, 0.04, 0.68, 32.93, -13.05, 13.11, 0.23, 0.01, 0.43, 37973
-0.15, 0.03, 0.69, 38.17, -14.09, 9.21, 0.22, 0.00, 0.43, 37983
-0.17, 0.02, 0.82, 40.61, -12.44, 5.73, 0.22, 0.01, 0.43, 37993
-0.13, 0.00, 0.90, 38.96, -14.33, 1.04, 0.22, -0.00, 0.43, 38003
-0.06, -0.00, 0.96, 35.79, -15.67, -1.52, 0.22, -0.01, 0.43, 38013
0.00, -0.01, 0.95, 34.15, -20.00, 0.18, 0.22, -0.01, 0.42, 38023
0.01, -0.02, 0.97, 37.32, -23.66, 3.72, 0.21, -0.01, 0.42, 38033
-0.02, -0.01, 1.03, 38.29, -31.10, 5.91, 0.21, -0.01, 0.42, 38043
-0.07, -0.03, 1.02, 42.74, -31.46, 6.71, 0.21, -0.02, 0.42, 38053
-0.08, -0.05, 1.16, 47.38, -23.05, 5.12, 0.21, -0.02, 0.42, 38063
-0.04, -0.07, 1.31, 46.52, -16.59, 3.78, 0.21, -0.03, 0.42, 38073
0.02, -0.07, 1.46, 40.49, -11.28, 4.88, 0.20, -0.02, 0.42, 38083
0.02, -0.08, 1.52, 32.99, -7.20, 9.27, 0.20, -0.03, 0.41, 38093
-0.03, -0.08, 1.62, 26.59, -4.33, 12.13, 0.20, -0.03, 0.42, 38103
-0.12, -0.07, 1.75, 12.50, -2.74, 12.13, 0.20, -0.03, 0.41, 38113
-0.20, -0.06, 1.71, -5.00, -0.12, 8.84, 0.21, -0.03, 0.42, 38123
-0.24, -0.06, 1.57, -15.43, 5.61, 2.32, 0.21, -0.03, 0.42, 38133
-0.24, -0.06, 1.47, -16.22, 11.04, -5.67, 0.20, -0.02, 0.42, 38143
-0.14, -0.07, 1.50, -17.38, 15.79, -11.89, 0.21, -0.02, 0.41, 38153
-0.08, -0.07, 1.50, -24.76, 18.66, -13.90, 0.21, -0.02, 0.42, 38163
-0.06, -0.07, 1.39, -31.40, 21.40, -14.27, 0.21, -0.02, 0.42, 38173
-0.04, -0.07, 1.31, -33.90, 24.70, -15.00, 0.21, -0.02, 0.42, 38183
-0.04, -0.06, 1.30, -36.71, 24.45, -15.00, 0.21, -0.01, 0.42, 38193
-0.02, -0.06, 1.28, -42.62, 25.24, -14.94, 0.22, -0.01, 0.42, 38203
-0.02, -0.04, 1.18, -49.51, 22.26, -13.84, 0.22, -0.00, 0.42, 38213
-0.05, -0.04, 1.01, -51.16, 23.29, -13.84, 0.22, 0.00, 0.42, 38223
-0.03, -0.02, 0.94, -47.26, 18.29, -15.30, 0.22, 0.00, 0.43, 38233
0.02, -0.01, 0.88, -43.78, 18.23, -14.39, 0.23, 0.01, 0.43, 38243
0.04, 0.03, 0.84, -41.22, 17.32, -8.60, 0.23, 0.01, 0.43, 38253
-0.08, -0.00, 0.78, -42.50, 19.63, -7.13, 0.23, 0.02, 0.43, 38263
-0.08, 0.02, 0.70, -39.94, 18.05, -8.72, 0.23, 0.02, 0.43, 38273
-0.09, 0.02, 0.62, -36.22, 15.79, -10.49, 0.23, 0.02, 0.43, 38283
-0.03, 0.02, 0.55, -31.52, 9.76, -11.89, 0.24, 0.03, 0.43, 38293
0.00, 0.03, 0.49, -26.65, 5.79, -11.40, 0.23, 0.02, 0.43, 38303
0.05, 0.02, 0.43, -19.88, 2.80, -10.00, 0.23, 0.02, 0.43, 38313
0.07, 0.02, 0.40, -10.85, 0.85, -7.26, 0.23, 0.03, 0.43, 38323
0.05, 0.01, 0.40, -1.22, -2.20, -4.15, 0.23, 0.03, 0.43, 38333
0.01, 0.01, 0.48, 6.89, -2.80, -1.77, 0.23, 0.02, 0.43, 38343
-0.01, -0.00, 0.55, 10.06, -3.54, -1.83, 0.24, 0.02, 0.43, 38353
0.03, -0.00, 0.58, 10.06, -4.51, -1.83, 0.23, 0.02, 0.44, 38363
